author,views
Edwidge Danticat,93.4
Edwidge Danticat,75.9
Edwidge Danticat,102.5
Edwidge Danticat,85.9
Edwidge Danticat,104.7
Edwidge Danticat,97.7
Edwidge Danticat,88.3
Edwidge Danticat,73.0
Edwidge Danticat,92.9
Edwidge Danticat,107.3
Edwidge Danticat,169.0
Ernest J. Gaines,80.3
Ernest J. Gaines,100.5
Ernest J. Gaines,107.6
Ernest J. Gaines,84.2
Ernest J. Gaines,75.1
Ernest J. Gaines,78.3
Ernest J. Gaines,121.3
Ernest J. Gaines,125.0
Ernest J. Gaines,100.5
Ernest J. Gaines,91.5
Ernest J. Gaines,87.7
Ernest J. Gaines,70.9
Ernest J. Gaines,67.3
Ernest J. Gaines,71.5
Ernest J. Gaines,75.2
Ernest J. Gaines,79.1
Ernest J. Gaines,79.4
Ernest J. Gaines,83.9
Ernest J. Gaines,124.2
Ernest J. Gaines,134.8
Ernest J. Gaines,101.0
Ernest J. Gaines,87.3
Ernest J. Gaines,75.6
Ernest J. Gaines,61.6
Ernest J. Gaines,63.1
Ernest J. Gaines,74.0
Ernest J. Gaines,97.4
Ernest J. Gaines,99.8
Ernest J. Gaines,112.9
Ernest J. Gaines,77.1
Ernest J. Gaines,114.5
Ernest J. Gaines,123.5
Ernest J. Gaines,99.4
Ernest J. Gaines,98.4
Ernest J. Gaines,88.0
Ernest J. Gaines,67.0
Ernest J. Gaines,62.3
Ernest J. Gaines,82.0
Ernest J. Gaines,67.1
Ernest J. Gaines,68.9
Ernest J. Gaines,70.9
Ernest J. Gaines,71.7
Ernest J. Gaines,110.5
Ernest J. Gaines,112.3
Ernest J. Gaines,85.6
Ernest J. Gaines,87.1
Ernest J. Gaines,67.2
Ernest J. Gaines,59.6
Ernest J. Gaines,54.8
Ernest J. Gaines,66.5
Ernest J. Gaines,61.8
Ernest J. Gaines,70.7
Ernest J. Gaines,887.7
Ernest J. Gaines,117.0
Ernest J. Gaines,109.3
Ernest J. Gaines,118.5
Ernest J. Gaines,75.1
Ernest J. Gaines,88.8
Ernest J. Gaines,71.7
Ernest J. Gaines,119.6
Ernest J. Gaines,85.7
Ernest J. Gaines,78.8
Ernest J. Gaines,82.2
Ernest J. Gaines,79.6
Ernest J. Gaines,68.8
Ernest J. Gaines,71.3
Ernest J. Gaines,254.8
Ernest J. Gaines,202.0
Ernest J. Gaines,94.0
Ernest J. Gaines,93.2
Ernest J. Gaines,72.4
Ernest J. Gaines,57.9
Ernest J. Gaines,54.2
Ernest J. Gaines,58.5
Ernest J. Gaines,69.0
Ernest J. Gaines,61.9
Ernest J. Gaines,66.4
Ernest J. Gaines,54.5
Ernest J. Gaines,73.2
Ernest J. Gaines,94.9
Ernest J. Gaines,74.5
Gayl Jones,23.0
Gayl Jones,19.6
Gayl Jones,21.2
Gayl Jones,26.7
Gayl Jones,31.3
Gayl Jones,26.9
Gayl Jones,22.9
Gayl Jones,39.1
Gayl Jones,38.3
Gayl Jones,39.0
Gayl Jones,26.6
Gayl Jones,26.5
Gayl Jones,20.4
Gayl Jones,21.2
Gayl Jones,24.5
Gayl Jones,30.2
Gayl Jones,35.8
Gayl Jones,26.1
Gayl Jones,26.4
Gayl Jones,36.5
Gayl Jones,30.9
Gayl Jones,29.3
Gayl Jones,22.2
Gayl Jones,17.5
Gayl Jones,17.6
Gayl Jones,15.9
Gayl Jones,23.1
Gayl Jones,34.1
Gayl Jones,34.4
Gayl Jones,27.8
Gayl Jones,29.5
Gayl Jones,38.3
Gayl Jones,35.5
Gayl Jones,42.3
Gayl Jones,29.9
Gayl Jones,23.1
Gayl Jones,19.6
Gayl Jones,21.6
Gayl Jones,25.7
Gayl Jones,32.3
Gayl Jones,30.4
Gayl Jones,24.4
Gayl Jones,27.7
Gayl Jones,41.6
Gayl Jones,41.9
Gayl Jones,33.2
Gayl Jones,24.2
Gayl Jones,22.3
Gayl Jones,25.4
Gayl Jones,70.7
Gayl Jones,32.2
Gayl Jones,44.2
Gayl Jones,42.9
Gayl Jones,26.7
Gayl Jones,29.8
Gayl Jones,36.7
Gayl Jones,24.5
Gayl Jones,33.3
Gayl Jones,27.1
Gayl Jones,65.1
Gayl Jones,37.3
Gayl Jones,284.0
Gayl Jones,54.8
Gayl Jones,41.1
Gayl Jones,33.4
Gayl Jones,33.6
Gayl Jones,34.9
Gayl Jones,44.1
Gayl Jones,46.1
Gayl Jones,35.4
Gayl Jones,32.9
Gayl Jones,30.6
Gayl Jones,28.3
Gayl Jones,39.0
Gayl Jones,471.2
Gayl Jones,117.1
